"","SYMBOL","SECTOR","AVG.RTRN","AVG.GAIN","AVG.LOSS","MAX.GAIN","MAX.LOSS","PCT.POS","PCT.NEG"
"140","JBHT","Transportation",1.13,4.29428571428571,-2.565,11.83,-5.46,53.8461538461538,46.1538461538462
"141","JD","Consumer Services",1.31,5.84,-3.22833333333333,7.83,-8.75,50,50
"142","JKHY","Technology",-0.11,1.81,-1.75,2.95,-4.61,46.1538461538462,53.8461538461538
"143","KHC","Consumer Non-Durables",-1.1,4.94333333333333,-6.28,8.95,-25.16,46.1538461538462,53.8461538461538
"144","KLAC","Capital Goods",1.28,2.63666666666667,-1.7625,5.74,-4.08,69.2307692307692,30.7692307692308
"145","LAMR","Consumer Services",1.34,2.68111111111111,-1.67,4.68,-3.46,69.2307692307692,30.7692307692308
"146","LBRDA","Consumer Services",1.11,3.27833333333333,-2.1525,7.29,-4.2,60,40
"147","LBRDK","Consumer Services",1.23,2.455,-1.81,6.71,-1.83,75,25
"148","LBTYA","Consumer Services",-0.05,3.98333333333333,-4.08666666666667,11.48,-11.59,50,50
"149","LBTYB","Consumer Services",-1.8,0,-7.22,0,-7.22,0,100
"150","LBTYK","Consumer Services",-0.43,3.68,-4.54833333333333,11.22,-10.11,50,50
"151","LECO","Technology",-0.48,2.826,-2.54375,5.78,-9.42,38.4615384615385,61.5384615384615
"152","LKQ","Consumer Services",-0.83,4.255,-3.3675,6.48,-11.69,33.3333333333333,66.6666666666667
"153","LNT","Public Utilities",-0.06,0.578333333333333,-0.703333333333333,1.15,-1.55,50,50
"154","LOGI","Technology",5.54,9.71888888888889,-3.87,19.41,-8.35,69.2307692307692,30.7692307692308
"155","LOPE","Consumer Services",5.95,6.59333333333333,-1.72,16.88,-1.72,92.3076923076923,7.69230769230769
"156","LPLA","Finance",-0.87,0.415,-1.61375,0.97,-3.94,33.3333333333333,66.6666666666667
"157","LRCX","Technology",2.67,3.09333333333333,-2.44,7.39,-2.44,92.3076923076923,7.69230769230769
"158","LSXMK","Consumer Services",-0.54,0.946666666666667,-1.18428571428571,1.45,-3.09,30,70
"159","LULU","Consumer Non-Durables",0.05,1.66666666666667,-1.57333333333333,8.12,-4.66,50,50
"160","MAR","Consumer Services",-0.19,2.06666666666667,-2.44,4.09,-5.92,50,50
"161","MASI","Health Care",2.51,3.865,-4.245,7.73,-5.3,83.3333333333333,16.6666666666667
"162","MAT","Consumer Non-Durables",-0.45,1.214,-1.48375,3.21,-3.37,38.4615384615385,61.5384615384615
"163","MCHP","Technology",2.37,5.47555555555556,-4.625,10.63,-9.23,69.2307692307692,30.7692307692308
"164","MDB","Technology",2.88,4.4675,-3.49,6.67,-3.49,80,20
"165","MDLZ","Consumer Non-Durables",-0.4,2.625,-1.74444444444444,4.9,-8.88,30.7692307692308,69.2307692307692
"166","MELI","Miscellaneous",1.76,5.5975,-5.9175,10.45,-10.69,66.6666666666667,33.3333333333333
"167","MIDD","Technology",-0.21,6.815,-7.235,15.12,-17.01,50,50
"168","MKTX","Finance",0.19,3.33,-2.50285714285714,9.43,-5.32,46.1538461538462,53.8461538461538
"169","MLCO","Consumer Services",0.8,4.81,-3.2,8.19,-9.11,50,50
"170","MLNX","Technology",-0.85,8.348,-6.60125,15.73,-16.41,38.4615384615385,61.5384615384615
"171","MNST","Consumer Non-Durables",-0.42,7.568,-6.12428571428571,16.67,-12.82,41.6666666666667,58.3333333333333
"172","MOMO","Technology",1.86,9.45,-8.762,14.89,-15.82,58.3333333333333,41.6666666666667
"173","MORN","Finance",1.56,2.69777777777778,-1,4.31,-1.52,69.2307692307692,30.7692307692308
"174","MPWR","Technology",-1.01,1.976,-2.8775,2.89,-7.55,38.4615384615385,61.5384615384615
"175","MRVL","Technology",2.04,4.06125,-1.99,9.1,-3.39,66.6666666666667,33.3333333333333
"176","MSFT","Technology",1.83,3.75,-2.5025,7.37,-7.78,69.2307692307692,30.7692307692308
"177","MSG","Consumer Services",0.53,3.37,-1.35666666666667,6.64,-2.53,40,60
"178","MTCH","Technology",-0.21,8.58,-7.74142857142857,17.72,-17.59,46.1538461538462,53.8461538461538
"179","MU","Technology",1.51,6.03285714285714,-4.832,15.47,-7.32,58.3333333333333,41.6666666666667
"180","MXIM","Technology",2.28,3.573,-2.01,5.87,-3.86,76.9230769230769,23.0769230769231
"181","MYL","Health Care",1.13,4.05571428571429,-2.964,12.33,-6.82,58.3333333333333,41.6666666666667
"182","NATI","Technology",0.1,3.01666666666667,-2.39857142857143,8,-6.47,46.1538461538462,53.8461538461538
"183","NBIX","Health Care",-0.02,6.054,-3.81875,14.39,-10.08,38.4615384615385,61.5384615384615
"184","NCLH","Consumer Services",0.61,3.05111111111111,-4.885,6.1,-7.98,69.2307692307692,30.7692307692308
"185","NDAQ","Finance",-0.72,0.952,-1.76,2.19,-4.48,38.4615384615385,61.5384615384615
"186","NDSN","Capital Goods",2.05,5.9825,-4.244,11.51,-7.99,61.5384615384615,38.4615384615385
"187","NFLX","Consumer Services",2.35,7.73888888888889,-9.7875,14.8,-15.21,69.2307692307692,30.7692307692308
"188","NICE","Technology",1.5,2.62888888888889,-1.39666666666667,4.87,-2.33,75,25
"189","NKTR","Health Care",-0.98,21.55,-3.02727272727273,21.55,-8.86,8.33333333333333,91.6666666666667
"190","NTAP","Technology",-0.75,7.344,-5.81375,11.88,-10.7,38.4615384615385,61.5384615384615
"191","NTES","Miscellaneous",0.4,4.80142857142857,-4.74166666666667,8.77,-8.38,53.8461538461538,46.1538461538462
"192","NTNX","Technology",1.2,6.714,-5.6825,17.2,-14.93,55.5555555555556,44.4444444444444
"193","NTRS","Finance",-0.6,1.99375,-4.742,3.41,-6.83,61.5384615384615,38.4615384615385
"194","NVDA","Technology",2.62,6.512,-10.3633333333333,14.85,-20.83,76.9230769230769,23.0769230769231
"195","NWL","Consumer Non-Durables",-0.95,7.206,-6.04625,14.72,-20.52,38.4615384615385,61.5384615384615
"196","NWS","Consumer Services",-0.47,5.365,-1.87444444444444,5.52,-6.12,18.1818181818182,81.8181818181818
"197","NWSA","Consumer Services",-1.21,2.604,-3.58875,6.23,-6.77,38.4615384615385,61.5384615384615
"198","NXPI","Technology",0.22,3.615,-2.69428571428571,15.11,-10.19,46.1538461538462,53.8461538461538
"199","ODFL","Transportation",-0.04,2.45,-2.17857142857143,4.45,-7.18,46.1538461538462,53.8461538461538
"200","OKTA","Technology",6.53,6.53,0,12.65,0,100,0
"201","OLED","Capital Goods",-3.21,6.936,-9.54875,17,-19.67,38.4615384615385,61.5384615384615
