"","SECTOR","Symbol","GainLoss_dol","GainLoss_perc","Bought","Buy_price","Sold","Sell_price","PROFIT","EQUITY"
"251","Health Care","AMRN",-0.02,-0.63,2017-05-02,3.17,2017-05-03,3.15,-6.29999999999995,1053.3
"252","Health Care","AMRN",0.32,9.07,2017-08-01,3.53,2017-08-02,3.85,90.7,1144
"253","Health Care","AMRN",0.1,2.95,2017-10-31,3.39,2017-11-01,3.49,29.5,1173.5
"254","Health Care","AMRN",-0.28,-7.11,2018-02-26,3.94,2018-02-27,3.66,-71.0999999999999,1102.4
"255","Health Care","AMRN",0.14,5.07,2018-05-01,2.76,2018-05-02,2.9,50.7,1153.1
"256","Health Care","AMRN",0.18,7.29,2018-07-31,2.47,2018-08-01,2.65,72.8999999999999,1226
"257","Health Care","AMRN",-0.08,-0.38,2018-10-31,20.950001,2018-11-01,20.870001,-3.80000000000007,1222.2
"258","Finance","AMTD",-0.65,-2.19,2016-01-19,29.639999,2016-01-20,28.99,-21.9,978.1
"259","Finance","AMTD",-0.5,-1.59,2016-04-18,31.5,2016-04-19,31,-15.9,962.2
"260","Finance","AMTD",-0.42,-1.43,2016-07-18,29.450001,2016-07-19,29.030001,-14.3,947.9
"261","Finance","AMTD",0.55,1.51,2016-10-21,36.529999,2016-10-24,37.080002,15.0999999999999,963
"262","Finance","AMTD",-0.65,-1.4,2017-01-17,46.419998,2017-01-18,45.77,-14,949
"263","Finance","AMTD",0.44,1.19,2017-04-18,37.110001,2017-04-19,37.549999,11.9,960.9
"264","Finance","AMTD",1.01,2.24,2017-07-17,44.990002,2017-07-18,46,22.4,983.3
"265","Finance","AMTD",1.47,3.05,2017-10-23,48.240002,2017-10-24,49.709999,30.5,1013.8
"266","Finance","AMTD",0.15,0.27,2018-01-19,55.099998,2018-01-22,55.25,2.69999999999993,1016.5
"267","Finance","AMTD",1.25,2.07,2018-04-20,60.41,2018-04-23,61.66,20.6999999999999,1037.2
"268","Finance","AMTD",0.22,0.38,2018-07-20,57.349998,2018-07-23,57.57,3.80000000000007,1041
"269","Finance","AMTD",0.52,1.04,2018-10-19,50,2018-10-22,50.52,10.4,1051.4
"270","Finance","AMTD",-0.04,-0.07,2019-01-18,54.869999,2019-01-22,54.830002,-0.700000000000045,1050.7
"271","Consumer Services","AMZN",-30.01,-4.99,2016-01-27,601.98999,2016-01-29,571.97998,-49.9000000000001,950.1
"272","Consumer Services","AMZN",54.2,8.86,2016-04-27,611.799988,2016-04-29,666,88.5999999999999,1038.7
"273","Consumer Services","AMZN",27.03,3.66,2016-07-27,737.969971,2016-07-29,765,36.5999999999999,1075.3
"274","Consumer Services","AMZN",-50.76,-6.1,2016-10-26,832.76001,2016-10-28,782,-61,1014.3
"275","Consumer Services","AMZN",-22.49,-2.71,2017-02-01,829.210022,2017-02-03,806.719971,-27.1,987.2
"276","Consumer Services","AMZN",38.53,4.23,2017-04-26,910.299988,2017-04-28,948.830017,42.3,1029.5
"277","Consumer Services","AMZN",-31.06,-2.98,2017-07-26,1043.199951,2017-07-28,1012.140015,-29.8000000000001,999.7
"278","Consumer Services","AMZN",80.14,8.19,2017-10-25,978,2017-10-27,1058.140015,81.9000000000001,1081.6
"279","Consumer Services","AMZN",26.09,1.8,2018-01-31,1451.300049,2018-02-02,1477.390015,18,1099.6
"280","Consumer Services","AMZN",176.01,12.07,2018-04-25,1458,2018-04-27,1634.01001,120.7,1220.3
"281","Consumer Services","AMZN",46.75,2.56,2018-07-25,1829.300049,2018-07-27,1876.050049,25.6000000000001,1245.9
"282","Consumer Services","AMZN",-124.11,-7,2018-10-24,1773.699951,2018-10-26,1649.589966,-70.0000000000001,1175.9
"283","Consumer Services","AMZN",15.88,0.98,2019-01-30,1623,2019-02-01,1638.880005,9.80000000000007,1185.7
"284","Consumer Services","ANGI",-1.17,-12.65,2016-02-22,9.25,2016-02-24,8.08,-126.5,873.5
"285","Consumer Services","ANGI",0.05,0.62,2016-04-19,8.03,2016-04-21,8.08,6.19999999999993,879.7
"286","Consumer Services","ANGI",1.2,16.39,2016-07-26,7.32,2016-07-28,8.52,163.9,1043.6
"287","Consumer Services","ANGI",-0.45,-5.75,2016-10-31,7.83,2016-11-02,7.38,-57.5,986.1
"288","Consumer Services","ANGI",-0.56,-9.26,2017-02-14,6.05,2017-02-16,5.49,-92.6,893.5
"289","Consumer Services","ANGI",3.75,63.56,2017-05-01,5.9,2017-05-03,9.65,635.6,1529.1
"290","Consumer Services","ANGI",-0.15,-1.19,2017-07-25,12.6,2017-07-27,12.45,-11.9,1517.2
"291","Consumer Services","ANGI",-0.83,-6.85,2017-11-07,12.12,2017-11-09,11.29,-68.5,1448.7
"292","Consumer Services","ANGI",0.01,0.08,2018-02-06,13.13,2018-02-08,13.14,0.799999999999955,1449.5
"293","Consumer Services","ANGI",0.26,1.89,2018-05-08,13.74,2018-05-10,14,18.8999999999999,1468.4
"294","Consumer Services","ANGI",0.67,4.08,2018-08-07,16.440001,2018-08-09,17.110001,40.8,1509.2
"295","Consumer Services","ANGI",1.07,5.72,2018-11-06,18.719999,2018-11-08,19.790001,57.1999999999998,1566.4
"296","Consumer Services","ANGI",0.23,1.37,2019-02-06,16.77,2019-02-08,17,13.7,1580.1
"297","Technology","ANSS",2.57,2.99,2016-02-24,85.809998,2016-02-25,88.379997,29.9000000000001,1029.9
"298","Technology","ANSS",-6,-6.58,2016-05-04,91.139999,2016-05-05,85.139999,-65.8,964.1
"299","Technology","ANSS",4.6,5.15,2016-08-03,89.400002,2016-08-04,94,51.5,1015.6
"300","Technology","ANSS",-3.64,-4.06,2016-11-02,89.75,2016-11-03,86.110001,-40.6,975
"301","Technology","ANSS",1.33,1.33,2017-02-21,100,2017-02-22,101.330002,13.3000000000001,988.3
"302","Technology","ANSS",-0.08,-0.07,2017-05-02,110.989998,2017-05-03,110.910004,-0.700000000000045,987.6
"303","Technology","ANSS",0.8,0.62,2017-08-01,129.649994,2017-08-02,130.449997,6.19999999999993,993.8
"304","Technology","ANSS",1.53,1.12,2017-10-31,136.020004,2017-11-01,137.550003,11.2,1005
"305","Technology","ANSS",3.74,2.28,2018-02-20,164,2018-02-21,167.740005,22.8,1027.8
"306","Technology","ANSS",-1.24,-0.77,2018-05-01,161.580002,2018-05-02,160.339996,-7.70000000000005,1020.1
"307","Technology","ANSS",2.37,1.39,2018-08-03,170.350006,2018-08-06,172.720001,13.9,1034
"308","Technology","ANSS",1.24,0.81,2018-11-06,152.899994,2018-11-07,154.139999,8.10000000000002,1042.1
"309","Technology","ARRS",-1.17,-4.99,2016-02-16,23.459999,2016-02-18,22.290001,-49.9000000000001,950.1
"310","Technology","ARRS",2.29,9.97,2016-05-03,22.959999,2016-05-05,25.25,99.6999999999998,1049.8
"311","Technology","ARRS",2.96,11.91,2016-07-26,24.860001,2016-07-28,27.82,119.1,1168.9
"312","Technology","ARRS",-2.34,-7.91,2016-10-25,29.59,2016-10-27,27.25,-79.0999999999999,1089.8
"313","Technology","ARRS",-3.42,-11.33,2017-02-21,30.190001,2017-02-23,26.77,-113.3,976.5
"314","Technology","ARRS",1.33,5.18,2017-05-02,25.67,2017-05-04,27,51.8000000000002,1028.3
"315","Technology","ARRS",1.81,6.45,2017-08-01,28.07,2017-08-03,29.879999,64.5,1092.8
"316","Technology","ARRS",-1.25,-4.42,2017-10-31,28.25,2017-11-02,27,-44.2,1048.6
"317","Technology","ARRS",0.73,2.96,2018-02-13,24.639999,2018-02-15,25.370001,29.6000000000001,1078.2
"318","Technology","ARRS",0.85,3.13,2018-04-30,27.190001,2018-05-02,28.040001,31.3000000000002,1109.5
"319","Technology","ARRS",-0.72,-2.94,2018-07-31,24.48,2018-08-02,23.76,-29.4,1080.1
"320","Technology","ARRS",2.58,9.19,2018-11-07,28.07,2018-11-09,30.65,91.9000000000001,1172
"321","Technology","ARRS",0.02,0.06,2019-02-20,31.629999,2019-02-22,31.65,0.599999999999909,1172.6
"322","Technology","ASML",1.8,2.26,2016-01-19,79.790001,2016-01-20,81.589996,22.5999999999999,1022.6
"323","Technology","ASML",-1.23,-1.23,2016-04-19,100.239998,2016-04-20,99.010002,-12.3,1010.3
"324","Technology","ASML",4.31,4.17,2016-07-19,103.269997,2016-07-20,107.580002,41.7,1052
"325","Technology","ASML",2.24,2.19,2016-10-18,102.510002,2016-10-19,104.75,21.9,1073.9
"326","Technology","ASML",6.44,5.57,2017-01-17,115.629997,2017-01-18,122.07,55.7,1129.6
"327","Technology","ASML",2.73,2.09,2017-04-18,130.380005,2017-04-19,133.110001,20.8999999999999,1150.5
"328","Technology","ASML",7.34,5.2,2017-07-18,141.279999,2017-07-19,148.619995,52,1202.5
"329","Technology","ASML",-0.17,-0.1,2017-10-17,176.009995,2017-10-18,175.839996,-1,1201.5
"330","Technology","ASML",7.29,3.88,2018-01-16,187.699997,2018-01-17,194.990005,38.8,1240.3
"331","Technology","ASML",0.27,0.13,2018-04-17,208.479996,2018-04-18,208.75,1.30000000000007,1241.6
"332","Technology","ASML",13.28,6.65,2018-07-17,199.809998,2018-07-18,213.089996,66.5,1308.1
"333","Technology","ASML",9.2,5.16,2018-10-16,178.380005,2018-10-17,187.580002,51.6000000000001,1359.7
"334","Technology","ASML",2.43,1.51,2019-01-22,160.899994,2019-01-23,163.330002,15.0999999999999,1374.8
"335","Health Care","ASND",-0.71,-4.84,2016-05-18,14.67,2016-05-20,13.96,-48.4,951.6
"336","Health Care","ASND",0.45,2.47,2016-08-30,18.25,2016-09-01,18.700001,24.7,976.3
"337","Health Care","ASND",0.28,1.37,2016-11-29,20.42,2016-12-01,20.700001,13.7,990
"338","Health Care","ASND",-0.15,-0.51,2017-03-21,29.639999,2017-03-23,29.49,-5.10000000000002,984.9
"339","Health Care","ASND",-2.46,-9.11,2017-05-22,27.01,2017-05-24,24.549999,-91.0999999999999,893.8
"340","Health Care","ASND",0.82,3,2017-08-17,27.290001,2017-08-21,28.108,30,923.8
"341","Health Care","ASND",-0.19,-0.54,2017-11-15,35.209999,2017-11-17,35.02,-5.39999999999998,918.4
"342","Health Care","ASND",-0.47,-0.73,2018-03-27,64.139999,2018-03-29,63.669998,-7.29999999999995,911.1
"343","Health Care","ASND",2,2.86,2018-05-29,70,2018-05-31,72,28.5999999999999,939.7
"344","Health Care","ASND",-1.49,-1.94,2018-08-28,76.949997,2018-08-30,75.459999,-19.4,920.3
"345","Health Care","ASND",3.62,6.13,2018-11-27,59.02,2018-11-29,62.639999,61.3,981.6
"346","Technology","ATVI",-0.4,-1.38,2016-02-10,29.059999,2016-02-12,28.66,-13.8000000000001,986.2
"347","Technology","ATVI",3.17,9.37,2016-05-04,33.82,2016-05-06,36.990002,93.6999999999998,1079.9
"348","Technology","ATVI",2.61,6.58,2016-08-03,39.639999,2016-08-05,42.25,65.8000000000002,1145.7
"349","Technology","ATVI",-1.59,-3.73,2016-11-02,42.630001,2016-11-04,41.040001,-37.3,1108.4
"350","Technology","ATVI",4.9,12.22,2017-02-08,40.099998,2017-02-10,45,122.2,1230.6
"351","Technology","ATVI",0.86,1.62,2017-05-03,53.150002,2017-05-05,54.009998,16.2,1246.8
"352","Technology","ATVI",0.42,0.67,2017-08-02,62.599998,2017-08-04,63.02,6.69999999999993,1253.5
"353","Technology","ATVI",1.18,1.8,2017-11-01,65.690002,2017-11-03,66.870003,18,1271.5
"354","Technology","ATVI",-2.63,-3.78,2018-02-07,69.620003,2018-02-09,66.989998,-37.8000000000001,1233.7
"355","Technology","ATVI",-1.64,-2.41,2018-05-02,67.940002,2018-05-04,66.300003,-24.1,1209.6
"356","Technology","ATVI",0.73,0.99,2018-08-01,73.769997,2018-08-03,74.5,9.89999999999998,1219.5
"357","Technology","ATVI",-10.26,-15.72,2018-11-07,65.260002,2018-11-09,55,-157.2,1062.3
"358","Technology","ATVI",-0.87,-1.99,2019-02-11,43.799999,2019-02-13,42.93,-19.9,1042.4
"359","Technology","AVGO",8.15,5.91,2016-03-02,137.850006,2016-03-04,146,59.0999999999999,1059.1
"360","Technology","AVGO",12.36,8.06,2016-06-01,153.410004,2016-06-03,165.770004,80.5999999999999,1139.7
"361","Technology","AVGO",-0.1,-0.06,2016-08-31,177.100006,2016-09-02,177,-0.600000000000023,1139.1
"362","Technology","AVGO",16.19,9.83,2016-12-07,164.759995,2016-12-09,180.949997,98.3,1237.4
"363","Technology","AVGO",9.97,4.66,2017-02-28,214.139999,2017-03-02,224.110001,46.5999999999999,1284
"364","Technology","AVGO",6.02,2.48,2017-05-31,242.520004,2017-06-02,248.539993,24.8,1308.8
"365","Technology","AVGO",-1.67,-0.66,2017-08-23,253.919998,2017-08-25,252.25,-6.60000000000002,1302.2
"366","Technology","AVGO",12.23,4.66,2017-12-05,262.660004,2017-12-07,274.890015,46.5999999999999,1348.8
"367","Technology","AVGO",1,0.38,2018-03-14,262,2018-03-16,263,3.80000000000007,1352.6
"368","Technology","AVGO",-4,-1.53,2018-06-06,260.73999,2018-06-08,256.73999,-15.3,1337.3
