"","Symbol","OVERALL.RTRN","# of Trades","SECTOR"
"113","INTU",9.06999999999998,13,"Technology"
"114","GOOGL",8.92000000000003,13,"Technology"
"115","FSLR",8.51999999999993,13,"Technology"
"116","CTAS",8.16000000000005,12,"Consumer Non-Durables"
"117","NCLH",7.91999999999999,13,"Consumer Services"
"118","ICLR",7.91,13,"Health Care"
"119","SWKS",7.90000000000002,13,"Technology"
"120","CBSH",7.81999999999999,13,"Finance"
"121","SEIC",7.13000000000002,13,"Finance"
"122","CG",7.09999999999997,13,"Finance"
"123","CZR",6.62000000000003,13,"Consumer Services"
"124","MLCO",6.44000000000002,8,"Consumer Services"
"125","SIVB",6.22000000000001,13,"Finance"
"126","FITB",5.92999999999997,13,"Finance"
"127","UAL",5.79999999999997,13,"Transportation"
"128","INFO",5.56000000000001,10,"Technology"
"129","DISCA",5.18999999999997,12,"Consumer Services"
"130","DBX",5.17000000000002,4,"Technology"
"131","NTES",5.15999999999997,13,"Miscellaneous"
"132","PTC",5.07000000000001,13,"Technology"
"133","AMTD",5.06999999999998,13,"Finance"
"134","ULTA",4.71000000000002,12,"Consumer Services"
"135","SIRI",4.41999999999999,13,"Consumer Services"
"136","EA",4.41000000000003,13,"Technology"
"137","OTEX",4.38000000000002,13,"Technology"
"138","GWPH",4.34000000000003,12,"Health Care"
"139","TXN",4.28,13,"Technology"
"140","ATVI",4.23999999999997,13,"Technology"
"141","REGN",4.22,13,"Health Care"
"142","ANSS",4.21000000000001,12,"Technology"
"143","RGLD",3.80000000000001,13,"Basic Industries"
"144","REG",3.56000000000001,13,"Consumer Services"
"145","BPOP",2.86,13,"Finance"
"146","NXPI",2.83000000000001,13,"Technology"
"147","MSG",2.67,5,"Consumer Services"
